Monthly Precipitation - (MM), Year, Model, Statistics, Country, ISO3
-1.6895765, 2020-2039, ipsl_cm5a_mr, May Anomaly, Bulgaria, BGR
-7.4204817, 2020-2039, ipsl_cm5a_mr, Jun Anomaly, Bulgaria, BGR
-1.6537634, 2020-2039, ipsl_cm5a_mr, Jul Anomaly, Bulgaria, BGR
-14.847797, 2020-2039, ipsl_cm5a_mr, Aug Anomaly, Bulgaria, BGR
-3.8608427, 2020-2039, ipsl_cm5a_mr, Sep Anomaly, Bulgaria, BGR
-11.061873, 2020-2039, ipsl_cm5a_mr, Oct Anomaly, Bulgaria, BGR
8.792722, 2020-2039, ipsl_cm5a_mr, Nov Anomaly, Bulgaria, BGR
18.26829, 2020-2039, ipsl_cm5a_mr, Dec Anomaly, Bulgaria, BGR
-0.47959757, 2020-2039, miroc_esm, Jan Anomaly, Bulgaria, BGR
-4.9115024, 2020-2039, miroc_esm, Feb Anomaly, Bulgaria, BGR
1.3960524, 2020-2039, miroc_esm, Mar Anomaly, Bulgaria, BGR
-4.521127, 2020-2039, miroc_esm, Apr Anomaly, Bulgaria, BGR
13.824362, 2020-2039, miroc_esm, May Anomaly, Bulgaria, BGR
-12.02328, 2020-2039, miroc_esm, Jun Anomaly, Bulgaria, BGR
-10.301452, 2020-2039, miroc_esm, Jul Anomaly, Bulgaria, BGR
-3.7339609, 2020-2039, miroc_esm, Aug Anomaly, Bulgaria, BGR
5.8111587, 2020-2039, miroc_esm, Sep Anomaly, Bulgaria, BGR
-2.4792936, 2020-2039, miroc_esm, Oct Anomaly, Bulgaria, BGR
-12.697571, 2020-2039, miroc_esm, Nov Anomaly, Bulgaria, BGR
8.166006, 2020-2039, miroc_esm, Dec Anomaly, Bulgaria, BGR
-8.672748, 2020-2039, miroc_esm_chem, Jan Anomaly, Bulgaria, BGR
-15.329483, 2020-2039, miroc_esm_chem, Feb Anomaly, Bulgaria, BGR
11.658874, 2020-2039, miroc_esm_chem, Mar Anomaly, Bulgaria, BGR
7.4469924, 2020-2039, miroc_esm_chem, Apr Anomaly, Bulgaria, BGR
3.602493, 2020-2039, miroc_esm_chem, May Anomaly, Bulgaria, BGR
4.1351037, 2020-2039, miroc_esm_chem, Jun Anomaly, Bulgaria, BGR
0.104779124, 2020-2039, miroc_esm_chem, Jul Anomaly, Bulgaria, BGR
5.9041586, 2020-2039, miroc_esm_chem, Aug Anomaly, Bulgaria, BGR
8.67344, 2020-2039, miroc_esm_chem, Sep Anomaly, Bulgaria, BGR
